"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:21:50,9342258","pafish64.exe","12688","Process Start","","SUCCESS","Parent PID: 3480, Command line: ""C:\Users\LGE\Downloads\pafish64.exe"" , Current directory: C:\Users\LGE\Downloads\, Environment: 
;	=::=::\
;	ALLUSERSPROFILE=C:\ProgramData
;	APPDATA=C:\Users\LGE\AppData\Roaming
;	CommonProgramFiles=C:\Program Files\Common Files
;	CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files
;	CommonProgramW6432=C:\Program Files\Common Files
;	COMPUTERNAME=DESKTOP-T3L1G3U
;	ComSpec=C:\Windows\system32\cmd.exe
;	DriverData=C:\Windows\System32\Drivers\DriverData
;	HOMEDRIVE=C:
;	HOMEPATH=\Users\LGE
;	LOCALAPPDATA=C:\Users\LGE\AppData\Local
;	LOGONSERVER=\\DESKTOP-T3L1G3U
;	NUMBER_OF_PROCESSORS=8
;	OneDrive=C:\Users\LGE\OneDrive
;	OS=Windows_NT
;	Path=C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\Git\cmd;C:\Users\LGE\AppData\Local\Microsoft\WindowsApps;C:\Users\LGE\AppData\Local\Programs\Microsoft VS Code\bin
;	PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
;	PROCESSOR_ARCHITECTURE=AMD64
;	PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 85 Stepping 4, GenuineIntel
;	PROCESSOR_LEVEL=6
;	PROCESSOR_REVISION=5504
;	ProgramData=C:\ProgramData
;	ProgramFiles=C:\Program Files
;	ProgramFiles(x86)=C:\Program Files (x86)
;	ProgramW6432=C:\Program Files
;	PROJECT_ROOT=C:\Work\Spectre
;	PSModulePath=C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
;	PUBLIC=C:\Users\Public
;	SESSIONNAME=Console
;	SystemDrive=C:
;	SystemRoot=C:\Windows
;	TEMP=C:\Users\LGE\AppData\Local\Temp
;	TMP=C:\Users\LGE\AppData\Local\Temp
;	USERDOMAIN=DESKTOP-T3L1G3U
;	USERDOMAIN_ROAMINGPROFILE=DESKTOP-T3L1G3U
;	USERNAME=LGE
;	USERPROFILE=C:\Users\LGE
;	windir=C:\Windows"
"16:21:50,9342594","pafish64.exe","12688","Thread Create","","SUCCESS","Thread ID: 11424"
"16:21:50,9475861","pafish64.exe","12688","Load Image","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS","Image Base: 0x400000, Image Size: 0x25000"
"16:21:50,9477557","pafish64.exe","12688","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x7ffb7fd70000, Image Size: 0x1f8000"
"16:21:50,9480878","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"16:21:50,9481126","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"16:21:50,9481343","pafish64.exe","12688","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"16:21:50,9481569","pafish64.exe","12688","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"16:21:50,9481766","pafish64.exe","12688","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"16:21:50,9481925","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"16:21:50,9482508","pafish64.exe","12688","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"16:21:50,9482674","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"16:21:50,9482847","pafish64.exe","12688","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
